nickname,team,conference,rating,lat,long,coords,score,wins,losses
AbCh,Abilene Christian,WAC,49.5,32.4338020067956,-99.6973657608032,"(32.4338,-99.6974)",0,,
AF,Air Force,MWC-MOUNTAIN,75.37,38.9969074312268,-104.843688011169,"(38.9969,-104.8437)",0,,
Akr,Akron,MAC-EAST,52.73,41.0725695152871,-81.5083837509155,"(41.0726,-81.5084)",0,,
ALAM,Alabama A&M,SWAC-EAST,31.86,34.7832145305281,-86.579303741455,"(34.7832,-86.5793)",0,,
Alb,Albany,COLONIAL,40.31,42.6815441600528,-73.8277173042297,"(42.6815,-73.8277)",0,,
AlcS,Alcorn State,SWAC-WEST,36.55,31.8731844044783,-91.1363124847412,"(31.8732,-91.1363)",0,,
AlSt,Alabama State,SWAC-EAST,33.76,32.3806859735875,-86.3114156948226,"(32.3807,-86.3114)",0,,
App,Appalachian State,SUN BELT EAST,67.31,36.211515301693,-81.6855061054229,"(36.2115,-81.6855)",0,,
Ariz,Arizona,PAC-12 SOUTH,70.55,32.2283402320714,-110.949039459228,"(32.2283,-110.949)",0,,
Ark,Arkansas,SEC-WEST,78.72,36.0678507851673,-94.1787958145141,"(36.0679,-94.1788)",0,,
Army,Army,I-A IND.,67.79,41.3870804347742,-73.9640808105468,"(41.3871,-73.9641)",0,,
ArPB,Arkansas Pine Bluff,SWAC-WEST,23.04,34.2528433892265,-92.0217780714437,"(34.2528,-92.0218)",0,,
ArSt,Arkansas State,SUN BELT WEST,53.42,35.8489900953236,-90.6676949436291,"(35.849,-90.6677)",0,,
ASU,Arizona State,PAC-12 SOUTH,69.09,33.426364,-111.932616,"(33.4264,-111.9326)",0,,
Aub,Auburn,SEC-WEST,75.57,32.6023616668175,-85.4889106750488,"(32.6024,-85.4889)",0,,
Ball,Ball State,MAC-WEST,60.11,40.2160276446665,-85.4176996220661,"(40.216,-85.4177)",0,,
Bama,Alabama,SEC-WEST,95.88,33.2074899449517,-87.5503921508789,"(33.2075,-87.5504)",0,,
Bay,Baylor,BIG 12,79.41,31.5586626355116,-97.1156001091003,"(31.5587,-97.1156)",0,,
BC,Boston College,ACC-ATLANTIC,60.84,42.3351083489585,-71.1664724349975,"(42.3351,-71.1665)",0,,
BCU,Bethune-Cookman,SWAC-EAST,26.36,29.1730751119705,-81.1177679002626,"(29.1731,-81.1178)",0,,
BoSt,Boise State,MWC-MOUNTAIN,73.65,43.6027080538683,-116.195912361145,"(43.6027,-116.1959)",0,,
Bowl,Bowling Green,MAC-EAST,55.1,41.3780543980322,-83.6224821209907,"(41.3781,-83.6225)",0,,
Bro,Brown,IVY LEAGUE,33.58,41.8421454678782,-71.3946461077084,"(41.8421,-71.3946)",0,,
Bry,Bryant,BIG SOUTH,39.91,41.9240451152858,-71.5380118857875,"(41.924,-71.538)",0,,
Buck,Bucknell,PATRIOT,25.84,40.9520773619051,-76.8857456505959,"(40.9521,-76.8857)",0,,
Buff,Buffalo,MAC-EAST,62.1,42.9990683823964,-78.7775194644928,"(42.9991,-78.7775)",0,,
But,Butler,PIONEER,27.38,39.8442975650596,-86.166241911809,"(39.8443,-86.1662)",0,,
BYU,BYU,I-A IND.,71.8,40.2574879974631,-111.654438972473,"(40.2575,-111.6544)",0,,
Cal,California,PAC-12 NORTH,70.38,37.8706866037042,-122.250709533691,"(37.8707,-122.2507)",0,,
CalP,Cal Poly,BIG SKY,34.87,35.2985168294003,-120.665114225167,"(35.2985,-120.6651)",0,,
Camp,Campbell,BIG SOUTH,44.03,35.4047183451882,-78.7429795892665,"(35.4047,-78.743)",0,,
CCar,Coastal Carolina,SUN BELT EAST,62.18,33.7928381752244,-79.0170228280525,"(33.7928,-79.017)",0,,
CeAR,Central Arkansas,ASUN,50.93,35.0803032166218,-92.4601221084594,"(35.0803,-92.4601)",0,,
CeCT,Central Connecticut,NORTHEAST,28.87,41.6951367540605,-72.7614321591481,"(41.6951,-72.7614)",0,,
Char,Charlotte,CONF-USA,49.09,35.310280676164,-80.7404937710652,"(35.3103,-80.7405)",0,,
Chat,Chattanooga,SOUTHERN,53.73,35.0360404491686,-85.3157687187194,"(35.036,-85.3158)",0,,
ChSo,Charleston Southern,BIG SOUTH,36.53,32.9783500561406,-80.0684685823592,"(32.9784,-80.0685)",0,,
Cinc,Cincinnati,AAC,74.73,39.131284252734,-84.5162614374157,"(39.1313,-84.5163)",0,,
Cit,The Citadel,SOUTHERN,39.2,32.7932634640853,-79.9564318910352,"(32.7933,-79.9564)",0,,
Clem,Clemson,ACC-ATLANTIC,85.58,34.6787466574134,-82.8431797027587,"(34.6787,-82.8432)",0,,
CMU,Central Michigan,MAC-WEST,58.82,43.5776122825745,-84.7708296775817,"(43.5776,-84.7708)",0,,
Col,Columbia,IVY LEAGUE,42.89,40.8723189213081,-73.9157140635693,"(40.8723,-73.9157)",0,,
Colg,Colgate,PATRIOT,33.89,42.8165272450098,-75.5458116531372,"(42.8165,-75.5458)",0,,
Colo,Colorado,PAC-12 SOUTH,54.03,40.0093983744632,-105.266886949539,"(40.0094,-105.2669)",0,,
Conn,Connecticut,I-A IND.,56.15,41.7598842782029,-72.6189422607421,"(41.7599,-72.6189)",0,,
Corn,Cornell,IVY LEAGUE,35.96,42.4440129576118,-76.4786839485168,"(42.444,-76.4787)",0,,
CoSt,Colorado State,MWC-MOUNTAIN,56.64,40.561742448678,-105.139843711922,"(40.5617,-105.1398)",0,,
Dart,Dartmouth,IVY LEAGUE,44.4,43.7012721867834,-72.2847763239833,"(43.7013,-72.2848)",0,,
Dav,Davidson,PIONEER,30.13,35.4995848258246,-80.8434523914253,"(35.4996,-80.8435)",0,,
Day,Dayton,PIONEER,29.56,39.736938,-84.198786658853,"(39.7369,-84.1988)",0,,
Del,Delaware,COLONIAL,52.91,39.6617040181287,-75.7488301174382,"(39.6617,-75.7488)",0,,
DeSt,Delaware State,MID-EASTERN,25.71,39.1888260066536,-75.5434942245483,"(39.1888,-75.5435)",0,,
Dra,Drake,PIONEER,26.0,41.605006051524,-93.6550220847129,"(41.605,-93.655)",0,,
Duke,Duke,ACC-COASTAL,75.57,35.9953166502013,-78.9417243003845,"(35.9953,-78.9417)",0,,
Duq,Duquesne,NORTHEAST,34.83,40.4356217823094,-79.9901509070334,"(40.4356,-79.9902)",0,,
EaIl,Eastern Illinois,OHIO VALLEY,33.68,39.4805930240453,-88.1811618804931,"(39.4806,-88.1812)",0,,
ECU,East Carolina,AAC,70.85,35.5964257969893,-77.3652291297912,"(35.5964,-77.3652)",0,,
EKY,Eastern Kentucky,ASUN,48.79,37.7344758710105,-84.298095703125,"(37.7345,-84.2981)",0,,
Elon,Elon,COLONIAL,51.32,36.1098743683231,-79.5076811313629,"(36.1099,-79.5077)",0,,
EMU,Eastern Michigan,MAC-WEST,64.78,42.2557607087688,-83.647756576538,"(42.2558,-83.6478)",0,,
ETSU,East Tennessee State,SOUTHERN,43.18,36.3270867430187,-82.3769417861926,"(36.3271,-82.3769)",0,,
EWU,Eastern Washington,BIG SKY,44.51,47.4927037670047,-117.588129043579,"(47.4927,-117.5881)",0,,
FAMU,Florida A&M,SWAC-EAST,42.76,30.426136950087,-84.291427970328,"(30.4261,-84.2914)",0,,
FAU,Florida Atlantic,CONF-USA,63.4,26.3754535636523,-80.101683139801,"(26.3755,-80.1017)",0,,
FIU,FIU,CONF-USA,43.16,25.752492787474,-80.3778648376464,"(25.7525,-80.3779)",0,,
Ford,Fordham,PATRIOT,48.24,40.8611805435104,-73.8832712173461,"(40.8612,-73.8833)",0,,
FrSt,Fresno State,MWC-WEST,76.85,36.8143196952459,-119.758101566905,"(36.8143,-119.7581)",0,,
FSU,Florida State,ACC-ATLANTIC,84.33,30.4375475846212,-84.304533981035,"(30.4375,-84.3045)",0,,
Fur,Furman,SOUTHERN,61.4,34.9198365246995,-82.4377689786167,"(34.9198,-82.4378)",0,,
GarW,Gardner-Webb,BIG SOUTH,48.87,35.2456686619942,-81.6737427963355,"(35.2457,-81.6737)",0,,
GASO,Georgia Southern,SUN BELT EAST,62.25,32.4122116763477,-81.7831707000732,"(32.4122,-81.7832)",0,,
GaSt,Georgia State,SUN BELT EAST,64.45,33.7576173764784,-84.4010603427887,"(33.7576,-84.4011)",0,,
GeoT,Georgetown,PATRIOT,25.47,38.9080328116556,-77.075400352478,"(38.908,-77.0754)",0,,
GrSt,Grambling State,SWAC-WEST,29.52,32.5208674487851,-92.7214074544663,"(32.5209,-92.7214)",0,,
GT,Georgia Tech,ACC-COASTAL,96.03,33.7725569213194,-84.3928527832031,"(33.7726,-84.3929)",0,,
Hamp,Hampton,COLONIAL,33.18,37.0207061232821,-76.3339555221659,"(37.0207,-76.334)",0,,
Harv,Harvard,IVY LEAGUE,48.99,42.366997,-71.12680128,"(42.367,-71.1268)",0,,
Hawa,Hawaii,MWC-WEST,52.42,21.3727829932682,-157.929968833923,"(21.3728,-157.93)",0,,
Holy,Holy Cross,PATRIOT,65.86,42.2410046910841,-71.8114042282104,"(42.241,-71.8114)",0,,
Hou,Houston,AAC,71.51,29.7217679632935,-95.3490984109521,"(29.7218,-95.3491)",0,,
HouC,Houston Christian ,SOUTHLAND,24.06,29.7522505600511,-95.352337360382,"(29.7523,-95.3523)",0,,
How,Howard,MID-EASTERN,36.53,38.9256708847653,-77.0212412131183,"(38.9257,-77.0212)",0,,
IaSt,Iowa State,BIG 12,75.98,42.0140054110848,-93.6358094215393,"(42.014,-93.6358)",0,,
Ida,Idaho,BIG SKY,59.48,46.7263496146411,-117.017551919226,"(46.7263,-117.0176)",0,,
IdSt,Idaho State,BIG SKY,34.28,42.8700355712198,-112.428524494171,"(42.87,-112.4285)",0,,
Ill,Illinois,BIG TEN-WEST,79.54,40.0993057313305,-88.2359862327575,"(40.0993,-88.236)",0,,
IlSt,Illinois State,MISSOURI VALLEY,51.07,40.5120046806667,-88.9962530136108,"(40.512,-88.9963)",0,,
Ind,Indiana,BIG TEN-EAST,65.8,39.1809091337292,-86.5255737304687,"(39.1809,-86.5256)",0,,
InSt,Indiana State,MISSOURI VALLEY,42.59,39.4743654748612,-87.3673582077026,"(39.4744,-87.3674)",0,,
Iowa,Iowa,BIG TEN-WEST,81.5,41.6583889368098,-91.5514755249023,"(41.6584,-91.5515)",0,,
Jack,Jackson State,SWAC-EAST,51.72,32.3296335816193,-90.1797831058502,"(32.3296,-90.1798)",0,,
JMU,James Madison,SUN BELT EAST,71.88,38.4350889358521,-78.8734033040367,"(38.4351,-78.8734)",0,,
JSU,Jacksonville State,ASUN,58.91,33.820310305704,-85.7664656639099,"(33.8203,-85.7665)",0,,
Kenn,Kennesaw State,ASUN,45.06,34.0234337,-84.6154897,"(34.0234,-84.6155)",0,,
Kent,Kent State,MAC-EAST,62.71,41.1390868254951,-81.3134394586086,"(41.1391,-81.3134)",0,,
KSU,Kansas State,BIG 12,86.1,39.2018636181424,-96.593792438507,"(39.2019,-96.5938)",0,,
KU,Kansas,BIG 12,73.12,38.9629459889853,-95.2463150024414,"(38.9629,-95.2463)",0,,
Laf,Lafayette,PATRIOT,32.81,40.7007265741943,-75.2102413284663,"(40.7007,-75.2102)",0,,
Lam,Lamar,SOUTHLAND,29.97,30.043150050345,-94.0699072055309,"(30.0432,-94.0699)",0,,
LaTe,Louisiana Tech,CONF-USA,53.19,32.5322380991582,-92.6560188758494,"(32.5322,-92.656)",0,,
Lehi,Lehigh,PATRIOT,30.06,40.5891237081224,-75.3554606437683,"(40.5891,-75.3555)",0,,
Lib,Liberty,I-A IND.,63.73,37.354414,-79.175047,"(37.3544,-79.175)",0,,
Lous,Louisiana,SUN BELT WEST,67.35,30.2157960967561,-92.0162641355238,"(30.2158,-92.0163)",0,,
Louv,Louisville,ACC-ATLANTIC,80.41,38.2054216852114,-85.758105615668,"(38.2054,-85.7581)",0,,
LSU,LSU,SEC-WEST,86.27,30.4120123982997,-91.1838197708129,"(30.412,-91.1838)",0,,
Main,Maine,COLONIAL,40.93,44.9044661257467,-68.673550558134,"(44.9045,-68.6736)",0,,
Mari,Marist,PIONEER,19.07,41.7189273847624,-73.9326238632202,"(41.7189,-73.9326)",0,,
Mars,Marshall,SUN BELT EAST,69.72,38.4248653617916,-82.4218583106994,"(38.4249,-82.4219)",0,,
Mary,Maryland,BIG TEN-EAST,76.85,38.9912027514442,-76.9473117324878,"(38.9912,-76.9473)",0,,
McNS,McNeese State,SOUTHLAND,36.62,30.1736932843449,-93.2107460048247,"(30.1737,-93.2107)",0,,
Memp,Memphis,AAC,73.86,35.1208569172689,-89.9780574112838,"(35.1209,-89.9781)",0,,
Merc,Mercer,SOUTHERN,57.92,32.834263,-83.626851,"(32.8343,-83.6269)",0,,
Mia,Miami,ACC-COASTAL,66.53,25.9579337390289,-80.2388405799865,"(25.9579,-80.2388)",0,,
MiaO,Miami (OH),MAC-EAST,60.81,39.5194211314234,-84.7333545014001,"(39.5194,-84.7334)",0,,
Mich,Michigan,BIG TEN-EAST,92.42,42.2658687325173,-83.7487256526947,"(42.2659,-83.7487)",0,,
MidT,Middle Tennessee,CONF-USA,59.65,35.8511090805408,-86.3684499263763,"(35.8511,-86.3684)",0,,
Minn,Minnesota,BIG TEN-WEST,80.32,44.9765249691119,-93.2245758175849,"(44.9765,-93.2246)",0,,
Mizz,Missouri,SEC-EAST,72.39,38.9358952967223,-92.3331141471862,"(38.9359,-92.3331)",0,,
Mon,Monmouth,COLONIAL,41.3,40.2793333205064,-74.0094745159149,"(40.2793,-74.0095)",0,,
Mont,Montana,BIG SKY,63.86,46.8639147960056,-113.982060589555,"(46.8639,-113.9821)",0,,
More,Morehead State,PIONEER,16.1,38.1918679567418,-83.4253692626953,"(38.1919,-83.4254)",0,,
Morg,Morgan State,MID-EASTERN,28.34,39.2779653647445,-76.6226944327354,"(39.278,-76.6227)",0,,
MoSt,Missouri State,MISSOURI VALLEY,55.44,37.1976295206597,-93.2799875736236,"(37.1976,-93.28)",0,,
MsSt,Mississippi State,SEC-WEST,82.84,33.456230599072,-88.7934243679046,"(33.4562,-88.7934)",0,,
MVSt,Mississippi Valley State,SWAC-EAST,24.38,33.5093393678006,-90.3437948226928,"(33.5093,-90.3438)",0,,
